person_id,clicked_on_ad,age,months_since_first_login,visits_per_month,linked_to_twitter_acct,linked_to_facebook_acct,referred_by_friend
1,0,48,15,3,0,1,0
2,1,69,4,9,1,0,0
3,0,22,28,4,0,0,0
4,0,37,19,0,1,1,0
5,0,54,27,0,1,0,0
6,1,46,24,3,1,1,1
7,1,69,22,2,0,0,0
8,1,56,17,4,1,0,1
9,1,61,28,2,1,0,0
10,1,23,14,5,0,0,1
11,0,36,20,4,0,0,1
12,0,38,17,1,1,0,1
13,0,20,24,3,0,0,1
14,1,54,19,0,0,0,0
15,0,52,11,1,1,0,1
16,0,44,23,1,1,0,1
17,0,21,15,0,1,0,1
18,0,20,19,4,1,1,0
19,0,36,15,4,1,0,0
20,0,48,2,9,0,1,0
21,1,59,11,4,1,1,0
22,0,36,20,4,1,0,0
23,0,52,4,4,1,0,0
24,0,34,23,4,0,0,0
25,0,28,15,5,1,0,0
26,0,48,19,4,0,0,0
27,0,37,15,1,0,0,0
28,0,51,20,4,1,1,0
29,1,44,12,4,1,0,1
30,0,16,29,2,1,0,0
31,0,16,26,2,0,0,0
32,1,64,18,1,0,0,0
33,0,27,10,2,1,1,1
34,0,19,14,0,1,0,0
35,0,23,28,5,1,0,1
36,1,23,1,8,1,0,0
37,0,26,3,5,1,0,0
38,0,45,24,1,1,0,1
39,0,55,23,2,0,0,0
40,0,25,19,5,1,0,1
41,1,54,22,5,1,0,0
42,0,42,2,5,0,0,1
43,1,20,2,10,0,1,0
44,0,28,1,2,1,0,0
45,1,68,20,1,0,0,0
46,0,36,20,5,0,1,0
47,0,48,11,4,0,1,0
48,0,24,8,2,1,1,0
49,0,44,16,0,1,0,0
50,0,23,21,2,0,0,1
51,0,48,25,3,0,0,0
52,1,69,23,0,1,0,0
53,0,36,9,4,0,0,0
54,1,33,1,10,1,0,0
55,1,60,15,5,0,0,0
56,1,59,27,0,1,1,0
57,0,40,9,5,1,1,0
58,1,23,18,2,1,0,0
59,1,44,-1,4,0,0,0
60,0,56,13,1,0,0,1
61,0,44,29,3,0,0,1
62,0,27,2,9,1,0,0
63,1,27,17,2,0,0,0
64,0,32,25,3,0,0,1
65,0,49,18,0,1,0,0
66,1,30,20,1,0,1,0
67,1,65,18,2,0,0,0
68,0,44,22,0,0,1,0
69,1,22,22,3,0,1,0
70,0,53,7,1,0,0,0
71,0,50,13,3,0,0,1
72,0,55,30,0,1,0,1
73,0,35,27,5,1,0,1
74,0,35,18,3,0,0,1
75,1,38,7,0,0,1,0
76,0,37,5,5,0,0,1
77,0,32,15,1,0,1,0
78,0,18,25,1,0,0,0
79,0,22,28,5,0,0,1
80,0,48,29,4,1,1,0
81,0,23,23,3,1,0,0
82,0,32,21,4,1,0,1
83,0,17,8,3,0,0,0
84,1,41,15,4,1,0,0
85,1,61,3,8,1,0,0
86,0,32,23,0,0,0,0
87,0,24,21,5,1,0,0
88,1,36,7,2,1,0,0
89,0,43,15,4,1,0,1
90,1,23,0,8,1,0,0
91,0,28,14,2,1,1,0
92,1,51,2,4,1,0,0
93,0,55,14,4,1,0,0
94,0,16,7,3,1,0,0
95,1,20,9,2,1,1,0
96,0,49,15,1,0,1,0
97,1,31,11,4,1,1,0
98,0,55,23,2,1,0,0
99,0,40,26,1,0,0,1
100,1,56,6,3,0,1,0
101,0,22,19,3,1,0,0
102,1,48,10,5,0,1,0
103,0,44,3,9,1,0,0
104,0,44,26,5,1,0,1
105,0,33,8,4,0,0,0
106,1,56,6,4,1,1,1
107,1,23,25,2,1,0,0
108,1,25,21,3,1,0,0
109,0,54,15,5,1,0,1
110,0,55,16,4,0,1,1
111,0,16,20,0,1,1,0
112,1,68,6,5,1,0,0
113,0,47,5,1,1,0,0
114,0,34,16,5,1,0,0
115,0,31,25,2,1,0,0
116,0,24,14,4,0,1,1
117,1,26,0,8,0,1,0
118,1,62,17,5,0,0,0
119,0,27,28,2,1,1,0
120,1,28,28,2,1,0,0
121,1,42,12,5,1,0,1
122,0,50,15,0,0,0,1
123,0,36,30,1,0,0,1
124,0,44,20,1,1,0,0
125,0,54,19,2,1,1,1
126,1,25,2,2,1,0,0
127,0,24,22,0,1,1,0
128,0,35,19,4,1,0,0
129,0,31,13,5,1,1,1
130,0,20,30,1,0,1,0
131,0,40,17,2,0,1,0
132,0,56,15,3,0,1,0
133,0,32,7,4,1,1,1
134,1,34,11,4,0,0,0
135,1,52,26,4,1,0,0
